type,url,hostname,certificate_sha256,certificate_name,record_type,mozilla_status,source
CA_ISSUERS,http://ah.siemens.com/pki?ZZZZZZD0.crt,ah.siemens.com,CEC450B3354FCAC90219D71FAC4DC1CFF4A67B6102F87B00A0301207FC2A4EFA,Siemens Issuing CA EE Auth 2023,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://aia.entrust.net/entica1-chain.cer,aia.entrust.net,9586FCA3106DC6048313D65BABB6F94F9469AE7C8B6CFB0F1C342B976D9E099C,Siemens Intermediate CA 2021,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://aia.swisssign.ch/air-4a7f1788-26b5-48ec-a547-c1cd0bf17c3d,aia.swisssign.ch,D7F41FABE5A459BAC6882465C75CCFF2BAA52487AABC34706CAF2A18AC53A5C2,SwissSign RSA SMIME LCP ICA 2022 - 1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://aia.swisssign.ch/air-aeff374d-0f7a-4c55-a034-1440290cfa32,aia.swisssign.ch,332F9EAE3650C77454AF14FE1A621A2498FD128773662890A0D12835B3436E23,SwissSign RSA TLS OV ICA 2022 - 1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://aia1.netlock.hu/index.cgi?ca=gold,aia1.netlock.hu,A5F2FD0D66DB4DD77A2914ED3C747CBD97E734CF4E2B6F217FB41AA4EAFDEAD2,NetLock Minősített Eat. Spec. (Class Q Legal Spec.) Kiadó,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://aia2.netlock.hu/index.cgi?ca=gold,aia2.netlock.hu,A5F2FD0D66DB4DD77A2914ED3C747CBD97E734CF4E2B6F217FB41AA4EAFDEAD2,NetLock Minősített Eat. Spec. (Class Q Legal Spec.) Kiadó,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://aia3.netlock.hu/index.cgi?ca=gold,aia3.netlock.hu,A5F2FD0D66DB4DD77A2914ED3C747CBD97E734CF4E2B6F217FB41AA4EAFDEAD2,NetLock Minősített Eat. Spec. (Class Q Legal Spec.) Kiadó,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://autorite.certigna.fr/certignarootca.crt,autorite.certigna.fr,080E7E36B3C7FA96ECC67DB7F4D41CECE1D194401AF196A4A47B79BDC4970574,FR03,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://autorite.certigna.fr/certignarootca.der,autorite.certigna.fr,B8D5D65C23FF9D8C902FFE6BEC1DD2F20693AF20E98AE47751F1ECB298127B6E,Certigna Wild CA,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://autorite.dhimyotis.com/certignarootca.der,autorite.dhimyotis.com,B8D5D65C23FF9D8C902FFE6BEC1DD2F20693AF20E98AE47751F1ECB298127B6E,Certigna Wild CA,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacert.actalis.it/certs/actalis-autroot,cacert.actalis.it,8B7ED5358484781F4C08376B183B018C957908CAAC32AA72ACD02E51707A58A7,AgID CA SSL SERVER,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacert.actalis.it/certs/smime-root-rsa-2025,cacert.actalis.it,886B66D00BE5BD6EACECACB698BADF680B1CFF268CA2F575D8628CD15A6465E4,Actalis SMIME RSA CA 2025,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacert.actalis.it/certs/tls-root-ecc-2025,cacert.actalis.it,E7929CDA1A88D2E94016A3F2D52BE95DB1C28C178C425B4303A82E3E29293544,Actalis Organization Validated TLS Server ECC CA 2025,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacert.actalis.it/certs/tls-root-rsa-2025,cacert.actalis.it,8FA40E1594EB493E5D2954F577BB50473A3512F2D203A99B402BBCB608AED73B,Actalis Extended Validation TLS Server RSA CA 2025,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.cn/DigiCertGlobalRootCA.crt,cacerts.digicert.cn,1BA02FF4A2562BBE6B799563990C88CC50E1182395719A4EAA803976E2F50860,DigiCert TLS RSA4096 Root G5,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.cn/DigiCertGlobalRootG2.crt,cacerts.digicert.cn,F16C99CDE19ED1ACE8B4FBC700E05E7EFF2116FD6A22427766B251C6E8BB3CE7,DigiCert Basic OV G2 TLS CN RSA4096 SHA256 2022 CA1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.cn/DigiCertGlobalRootG3.crt,cacerts.digicert.cn,943BC406B0B45ACF88413045227265703F1AC8B21D6FBC2B8CBDE59D7CE51B81,DigiCert Secure Site EV G3 TLS CN ECC P-384 SHA384 2022 CA1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.cn/DigiCertHighAssuranceEVRootCA.crt,cacerts.digicert.cn,A0D609A7E3C434E878A9A1C1BD065B8DCF33AA7EFEE1B11BC75CCE5E5A042080,DigiCert Global Root G2,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.cn/DigiCertTLSECCP384RootG5.crt,cacerts.digicert.cn,D604F0148A25D93BAB577D38705CBAAE2C4477DE7EB51D86A0F6B26584013D7A,Thawte G5 TLS CN ECC P-384 SHA384 2022 CA1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.cn/DigiCertTLSRSA4096RootG5.crt,cacerts.digicert.cn,1E89E3D2702D3F1735DCE7DA99561600534A06454A94874D0780D0443CAF4151,Thawte G5 TLS CN RSA4096 SHA384 2022 CA1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertAssuredIDRootCA.crt,cacerts.digicert.com,24E9F20AC167BB8F09DE8A1E9968CC53F0B5F3A4948F51B8647B40B186C75EBE,DigiCert Secure Auth CA,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertAssuredIDRootCA.p7c,cacerts.digicert.com,1E0A3AB993157717281D42ABF801EB64DEED500E4168CA706D6A71D8103C73A2,DigiCert Grid Trust CA,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertAssuredIDRootG2.crt,cacerts.digicert.com,FB1147E7AB97A29BB9C1140ABF3DE831F4C5F60D11B90FEC999A0816375D8457,DC Government SHA2 Assured ID Intermediate CA,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertAssuredIDRootG3.crt,cacerts.digicert.com,1C8846C406AC6294FAF0D32A5A14E79C841385A57F1159B61E9014605E37E5E9,DigiCert Assured ID G3 TLS ECC384 SHA384 2022 CA1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertGlobalRootCA.crt,cacerts.digicert.com,A4BCDA32D49CDF05F0CDD085E73C3A2E67880BD48579FED4DF5940DF76A076D7,DigiCert TLS RSA4096 Root G5,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertGlobalRootG2.crt,cacerts.digicert.com,440B37416F2DE852CA386150D611EC0AF31DD58D8A27F882815A7EA3EE6848EE,Bloomberg TLS CA,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertGlobalRootG3.crt,cacerts.digicert.com,338EDB04FB8BEAF07A10749E7F4E538DE0715DAFB6478D58063FB7C8BDB0C30D,DigiCert Global G3 TLS ECC SHA384 2020 CA1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertHighAssuranceEVRootCA.crt,cacerts.digicert.com,B9D53F235C5FA8C92EB31DCFCADF4959B34A32AF36ACA1EA10F07D6551C398A5,DigiCert TLS RSA4096 Root G5,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertSMIMEECCP384RootG5.crt,cacerts.digicert.com,873DD73022087B9179FA060EF3D34381845A37E88A6A2BF20ECBAFDE8C3DB993,DigiCert G5 SMIME ECC SHA384 2021 CA1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertSMIMERSA4096RootG5.crt,cacerts.digicert.com,58A5988F1BEB2558FB4C168B97AE748E448C974FD51CB521818BBA9FC6CB1B7B,DigiCert G5 SMIME RSA4096 SHA384 2021 CA1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertTLSECCP384RootG5.crt,cacerts.digicert.com,E5A1C1919E3BEAEE5935A8485DDCE0E3F01A2618DB0F0793B3DB3D9AC2D967C7,DigiCert G5 TLS ECC SHA384 2021 CA1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
CA_ISSUERS,http://cacerts.digicert.com/DigiCertTLSRSA4096RootG5.crt,cacerts.digicert.com,EF9296036A6D7C986C8D59DB936093E78E85C70AEDB4FE7A54DDCAA821031C72,DigiCert G5 TLS RSA4096 SHA384 2021 CA1,Intermediate Certificate,Trusted,X.509 AIA / CA Issuers
